Random Seed = 224
57 71 82 87
Reading cmse2.txt
Reading in 50x50 array
Done with Generation 525 with best=5819 fitness=276
Done with Generation 526 with best=5819 fitness=276
Done with Generation 527 with best=5819 fitness=276
Done with Generation 528 with best=5819 fitness=276
Done with Generation 529 with best=5819 fitness=276
Done with Generation 530 with best=5819 fitness=276
Done with Generation 531 with best=5819 fitness=276
Done with Generation 532 with best=5819 fitness=276
Done with Generation 533 with best=5819 fitness=276
Done with Generation 534 with best=5819 fitness=276
Done with Generation 535 with best=5819 fitness=276
Done with Generation 536 with best=5819 fitness=276
Done with Generation 537 with best=5819 fitness=276
Done with Generation 538 with best=5819 fitness=276
Done with Generation 539 with best=5819 fitness=276
Done with Generation 540 with best=5819 fitness=276
Done with Generation 541 with best=5819 fitness=276
Done with Generation 542 with best=5819 fitness=276
Done with Generation 543 with best=5819 fitness=276
Done with Generation 544 with best=5819 fitness=276
Done with Generation 545 with best=5819 fitness=276
Done with Generation 546 with best=5819 fitness=276
Done with Generation 547 with best=5819 fitness=276
Done with Generation 548 with best=5819 fitness=276
Done with Generation 549 with best=5819 fitness=276
Done with Generation 550 with best=5819 fitness=276
Done with Generation 551 with best=5819 fitness=276
Done with Generation 552 with best=5819 fitness=276
Done with Generation 553 with best=5819 fitness=276
Done with Generation 554 with best=5819 fitness=276
Done with Generation 555 with best=5819 fitness=276
Done with Generation 556 with best=5819 fitness=276
Done with Generation 557 with best=5819 fitness=276
Done with Generation 558 with best=5819 fitness=276
Done with Generation 559 with best=5819 fitness=276
Done with Generation 560 with best=5819 fitness=276
Done with Generation 561 with best=5819 fitness=276
Done with Generation 562 with best=5819 fitness=276
Done with Generation 563 with best=5819 fitness=276
Done with Generation 564 with best=5819 fitness=276
Done with Generation 565 with best=5819 fitness=276
Done with Generation 566 with best=5819 fitness=276
Done with Generation 567 with best=5819 fitness=276
Done with Generation 568 with best=5819 fitness=276
Done with Generation 569 with best=5819 fitness=276
Done with Generation 570 with best=5819 fitness=276
Done with Generation 571 with best=5819 fitness=276
Done with Generation 572 with best=5819 fitness=276
Done with Generation 573 with best=5819 fitness=276
Done with Generation 574 with best=5819 fitness=276
Done with Generation 575 with best=5819 fitness=276
Done with Generation 576 with best=5819 fitness=276
Done with Generation 577 with best=5819 fitness=276
Done with Generation 578 with best=5819 fitness=276
Done with Generation 579 with best=5819 fitness=276
Done with Generation 580 with best=5819 fitness=276
Done with Generation 581 with best=5819 fitness=276
Done with Generation 582 with best=5819 fitness=276
Done with Generation 583 with best=5819 fitness=276
Done with Generation 584 with best=5819 fitness=276
Done with Generation 585 with best=5819 fitness=276
Done with Generation 586 with best=5819 fitness=276
Done with Generation 587 with best=5819 fitness=276
Done with Generation 588 with best=5819 fitness=276
Done with Generation 589 with best=5819 fitness=276
Done with Generation 590 with best=5819 fitness=276
Done with Generation 591 with best=5819 fitness=276
Done with Generation 592 with best=5819 fitness=276
Done with Generation 593 with best=5819 fitness=276
Done with Generation 594 with best=5819 fitness=276
Done with Generation 595 with best=5819 fitness=276
Done with Generation 596 with best=5819 fitness=276
Done with Generation 597 with best=5819 fitness=276
Done with Generation 598 with best=5819 fitness=276
Done with Generation 599 with best=5819 fitness=276
Done with Generation 600 with best=5819 fitness=276
Done with Generation 601 with best=5819 fitness=276
Done with Generation 602 with best=5819 fitness=276
Done with Generation 603 with best=5819 fitness=276
Done with Generation 604 with best=5819 fitness=276
Done with Generation 605 with best=5819 fitness=276
Done with Generation 606 with best=5819 fitness=276
Done with Generation 607 with best=5819 fitness=276
Done with Generation 608 with best=5819 fitness=276
Done with Generation 609 with best=5819 fitness=276
Done with Generation 610 with best=5819 fitness=276
Done with Generation 611 with best=5819 fitness=276
Done with Generation 612 with best=5819 fitness=276
Done with Generation 613 with best=5819 fitness=276
Done with Generation 614 with best=5819 fitness=276
Done with Generation 615 with best=5819 fitness=276
Done with Generation 616 with best=5819 fitness=276
Done with Generation 617 with best=5819 fitness=276
Done with Generation 618 with best=5819 fitness=276
Done with Generation 619 with best=5819 fitness=276
Done with Generation 620 with best=5819 fitness=276
Done with Generation 621 with best=5819 fitness=276
Done with Generation 622 with best=5819 fitness=276
Done with Generation 623 with best=5819 fitness=276
Done with Generation 624 with best=5819 fitness=276
Done with Generation 625 with best=5819 fitness=276
Done with Generation 626 with best=5819 fitness=276
Done with Generation 627 with best=5819 fitness=276
Done with Generation 628 with best=5819 fitness=276
Done with Generation 629 with best=5819 fitness=276
Done with Generation 630 with best=5819 fitness
