Lmod has detected the following error: The following module(s) could not be
loaded: "openmpi/4.0.3"

Please check the spelling or version number. Also try "module spider ..."

It is also possible that the module is not available for this node type.
See https://docs.icer.msu.edu/available_software/overview/ for details. 


Compiling reverseGOL-mpi.c...
Running MPI program with 4 tasks...
Worker 0: Generation 33 with best=0 fitness=0
Worker 2: Generation 33 with best=0 fitness=0
Worker 3: Generation 33 with best=0 fitness=0
Worker 1: Generation 34 with best=0 fitness=0
Worker 0: Generation 34 with best=0 fitness=0
Worker 3: Generation 34 with best=0 fitness=0
Worker 2: Generation 34 with best=0 fitness=0
Worker 1: Generation 35 with best=0 fitness=0
Worker 0: Generation 35 with best=0 fitness=0
Worker 2: Generation 35 with best=0 fitness=0
Worker 3: Generation 35 with best=0 fitness=0
Worker 1: Generation 36 with best=0 fitness=0
Worker 0: Generation 36 with best=0 fitness=0
Worker 3: Generation 36 with best=0 fitness=0
Worker 2: Generation 36 with best=0 fitness=0
Worker 1: Generation 37 with best=0 fitness=0
Worker 0: Generation 37 with best=0 fitness=0
Worker 3: Generation 37 with best=0 fitness=0
Worker 2: Generation 37 with best=0 fitness=0
Worker 1: Generation 38 with best=0 fitness=0
Worker 0: Generation 38 with best=0 fitness=0
Worker 3: Generation 38 with best=0 fitness=0
Worker 2: Generation 38 with best=0 fitness=0
Worker 1: Generation 39 with best=0 fitness=0
Worker 0: Generation 39 with best=0 fitness=0
Worker 3: Generation 39 with best=0 fitness=0
Worker 2: Generation 39 with best=0 fitness=0
Worker 1: Generation 40 with best=0 fitness=0
Worker 0: Generation 40 with best=0 fitness=0
Worker 3: Generation 40 with best=0 fitness=0
Worker 2: Generation 40 with best=0 fitness=0
Worker 1: Generation 41 with best=0 fitness=0
Worker 0: Generation 41 with best=0 fitness=0
Worker 3: Generation 41 with best=0 fitness=0
Worker 2: Generation 41 with best=0 fitness=0
Worker 1: Generation 42 with best=0 fitness=0
Worker 0: Generation 42 with best=0 fitness=0
Worker 2: Generation 42 with best=0 fitness=0
Worker 3: Generation 42 with best=0 fitness=0
Worker 1: Generation 43 with best=0 fitness=0
Worker 0: Generation 43 with best=0 fitness=0
Worker 3: Generation 43 with best=0 fitness=0
Worker 2: Generation 43 with best=0 fitness=0
Worker 1: Generation 44 with best=0 fitness=0
Worker 0: Generation 44 with best=0 fitness=0
Worker 3: Generation 44 with best=0 fitness=0
Worker 2: Generation 44 with best=0 fitness=0
Worker 1: Generation 45 with best=0 fitness=0
Worker 0: Generation 45 with best=0 fitness=0
Worker 3: Generation 45 with best=0 fitness=0
Worker 2: Generation 45 with best=0 fitness=0
Worker 1: Generation 46 with best=0 fitness=0
Worker 0: Generation 46 with best=0 fitness=0
Worker 2: Generation 46 with best=0 fitness=0
Worker 3: Generation 46 with best=0 fitness=0
Worker 1: Generation 47 with best=0 fitness=0
Worker 0: Generation 47 with best=0 fitness=0
Worker 3: Generation 47 with best=0 fitness=0
Worker 2: Generation 47 with best=0 fitness=0
Worker 1: Generation 48 with best=0 fitness=0
Worker 0: Generation 48 with best=0 fitness=0
Worker 2: Generation 48 with best=0 fitness=0
Worker 3: Generation 48 with best=0 fitness=0
Worker 1: Generation 49 with best=0 fitness=0
Worker 0: Generation 49 with best=0 fitness=0
Worker 3: Generation 49 with best=0 fitness=0
Worker 2: Generation 49 with best=0 fitness=0
Worker 1: Generation 50 with best=0 fitness=0
Worker 0: Generation 50 with best=0 fitness=0
Worker 3: Generation 50 with best=0 fitness=0
Worker 2: Generation 50 with best=0 fitness=0
Worker 1: Generation 51 with best=0 fitness=0
Worker 0: Generation 51 with best=0 fitness=0
Worker 3: Generation 51 with best=0 fitness=0
Worker 2: Generation 51 with best=0 fitness=0
Worker 1: Generation 52 with best=0 fitness=0
Worker 0: Generation 52 with best=0 fitness=0
Worker 3: Generation 52 with best=0 fitness=0
Worker 2: Generation 52 with best=0 fitness=0
Worker 1: Generation 53 with best=0 fitness=0
Worker 0: Generation 53 with best=0 fitness=0
Worker 2: Generation 53 with best=0 fitness=0
Worker 3: Generation 53 with best=0 fitness=0
Worker 1: Generation 54 with best=0 fitness=0
Worker 0: Generation 54 with best=0 fitness=0
Worker 2: Generation 54 with best=0 fitness=0
Worker 3: Generation 54 with best=0 fitness=0
Worker 1: Generation 55 with best=0 fitness=0
Worker 0: Generation 55 with best=0 fitness=0
Worker 3: Generation 55 with best=0 fitness=0
Worker 2: Generation 55 with best=0 fitness=0
Worker 1: Generation 56 with best=0 fitness=0
Worker 0: Generation 56 with best=0 fitness=0
Worker 3: Generation 56 with best=0 fitness=0
Worker 2: Generation 56 with best=0 fitness=0
Worker 1: Generation 57 with best=0 fitness=0
Worker 0: Generation 57 with best=0 fitness=0
Worker 3: Generation 57 with best=0 fitness=0
Worker 2: Generation 57 with best=0 fitness=0
Worker 1: Generation 58 with best=0 fitness=0
Worker 0: Generation 58 with best=0 fitness=0
Worker 3: Generation 58 with best=0 fitness=0
Worker 2: Generation 58 with best=0 fitness=0
Worker 1: Generation 59 with best=0 fitness=0
Worker 0: Generation 59 with best=0 fitness=0
Worker 3: Generation 59 with best=0 fitness=0
Worker 2: Generation 59 with best=0 fitness=0
Worker 1: Generation 60 with best=0 fitness=0
Worker 0: Generation 60 with best=0 fitness=0
Worker 3: Generation 60 with best=0 fitness=0
Worker 2: Generation 60 with best=0 fitness=0
Worker 1: Generation 61 with best=0 fitness=0
Worker 0: Generation 61 with best=0 fitness=0
Worker 3: Generation 61 with best=0 fitness=0
Worker 2: Generation 61 with best=0 fitness=0
Worker 1: Generation 62 with best=0 fitness=0
Worker 0: Generation 62 with best=0 fitness=0
Worker 3: Generation 62 with best=0 fitness=0
Worker 2: Generation 62 with best=0 fitness=0
Worker 1: Generation 63 with best=0 fitness=0
Worker 0: Generation 63 with best=0 fitness=0
Worker 2: Generation 63 with best=0 fitness=0
Worker 3: Generation 63 with best=0 fitness=0
Worker 1: Generation 64 with best=0 fitness=0
Worker 0: Generation 64 with best=0 fitness=0
Worker 2: Generation 64 with best=0 fitness=0
Worker 3: Generation 64 with best=0 fitness=0
Worker 1: Generation 65 with best=0 fitness=0
Worker 0: Generation 65 with best=0 fitness=0
Worker 3: Generation 65 with best=0 fitness=0
Worker 2: Generation 65 with best=0 fitness=0
Worker 1: Generation 66 with best=0 fitness=0
Worker 0: Generation 66 with best=0 fitness=0
Worker 3: Generation 66 with best=0 fitness=0
Worker 2: Generation 66 with best=0 fitness=0
Worker 1: Generation 67 with best=0 fitness=0
Worker 0: Generation 67 with best=0 fitness=0
Worker 2: Generation 67 with best=0 fitness=0
Worker 3: Generation 67 with best=0 fitness=0
Worker 1: Generation 68 with best=0 fitness=0
Worker 0: Generation 68 with best=0 fitness=0
Worker 3: Generation 68 with best=0 fitness=0
Worker 2: Generation 68 with best=0 fitness=0
Worker 1: Generation 69 with best=0 fitness=0
Worker 0: Generation 69 with best=0 fitness=0
Worker 3: Generation 69 with best=0 fitness=0
Worker 2: Generation 69 with best=0 fitness=0
Worker 1: Generation 70 with best=0 fitness=0
Worker 0: Generation 70 with best=0 fitness=0
Worker 3: Generation 70 with best=0 fitness=0
Worker 2: Generation 70 with best=0 fitness=0
Worker 1: Generation 71 with best=0 fitness=0
Worker 0: Generation 71 with best=0 fitness=0
Worker 3: Generation 71 with best=0 fitness=0
Worker 2: Generation 71 with best=0 fitness=0
Worker 1: Generation 72 with best=0 fitness=0
Worker 0: Generation 72 with best=0 fitness=0
Worker 3: Generation 72 with best=0 fitness=0
Worker 2: Generation 72 with best=0 fitness=0
Worker 1: Generation 73 with best=0 fitness=0
Worker 0: Generation 73 with best=0 fitness=0
Worker 3: Generation 73 with best=0 fitness=0
Worker 2: Generation 73 with best=0 fitness=0
Worker 1: Generation 74 with best=0 fitness=0
Worker 0: Generation 74 with best=0 fitness=0
Worker 3: Generation 74 with best=0 fitness=0
Worker 2: Generation 74 with best=0 fitness=0
Worker 1: Generation 75 with best=0 fitness=0
Worker 0: Generation 75 with best=0 fitness=0
Worker 2: Generation 75 with best=0 fitness=0
Worker 3: Generation 75 with best=0 fitness=0
Worker 1: Generation 76 with best=0 fitness=0
Worker 0: Generation 76 with best=0 fitness=0
Worker 3: Generation 76 with best=0 fitness=0
Worker 2: Generation 76 with best=0 fitness=0
Worker 1: Generation 77 with best=0 fitness=0
Worker 0: Generation 77 with best=0 fitness=0
Worker 2: Generation 77 with best=0 fitness=0
Worker 3: Generation 77 with best=0 fitness=0
Worker 1: Generation 78 with best=0 fitness=0
Worker 0: Generation 78 with best=0 fitness=0
Worker 3: Generation 78 with best=0 fitness=0
Worker 2: Generation 78 with best=0 fitness=0
Worker 1: Generation 79 with best=0 fitness=0
Worker 0: Generation 79 with best=0 fitness=0
Worker 2: Generation 79 with best=0 fitness=0
Worker 3: Generation 79 with best=0 fitness=0
Worker 1: Generation 80 with best=0 fitness=0
Worker 0: Generation 80 with best=0 fitness=0
Worker 2: Generation 80 with best=0 fitness=0
Worker 3: Generation 80 with best=0 fitness=0
Worker 1: Generation 81 with best=0 fitness=0
